P1 X: 11     P1 Y: 29
P2 X: 12     P2 Y: 21
P3 X: 26     P3 Y: 14
P4 X: 6     P4 Y: 1
P5 X: 6     P5 Y: 22
P6 X: 24     P6 Y: 12
P7 X: 13     P7 Y: 22
P8 X: 11     P8 Y: 18
P9 X: 27     P9 Y: 28
P10 X: 28     P10 Y: 24
P11 X: 24     P11 Y: 20
P12 X: 18     P12 Y: 29
P13 X: 20     P13 Y: 18
P14 X: 0     P14 Y: 21
P15 X: 14     P15 Y: 14
P16 X: 2     P16 Y: 12
P17 X: 25     P17 Y: 0
P18 X: 22     P18 Y: 9
P19 X: 6     P19 Y: 3
P20 X: 21     P20 Y: 4
P21 X: 1     P21 Y: 23
P22 X: 10     P22 Y: 22
P23 X: 17     P23 Y: 15
P24 X: 1     P24 Y: 28
P25 X: 21     P25 Y: 8
P26 X: 4     P26 Y: 22
P27 X: 0     P27 Y: 22
P28 X: 29     P28 Y: 9
P29 X: 27     P29 Y: 5
P30 X: 1     P30 Y: 3
P31 X: 24     P31 Y: 23
P32 X: 21     P32 Y: 25
P33 X: 22     P33 Y: 16
P34 X: 19     P34 Y: 21
P35 X: 13     P35 Y: 12
P36 X: 7     P36 Y: 26
P37 X: 23     P37 Y: 21
P38 X: 24     P38 Y: 5
P39 X: 23     P39 Y: 3
P40 X: 0     P40 Y: 1
P41 X: 26     P41 Y: 14
P42 X: 25     P42 Y: 2
P43 X: 13     P43 Y: 4
P44 X: 26     P44 Y: 28
P45 X: 7     P45 Y: 5
P46 X: 0     P46 Y: 10
P47 X: 5     P47 Y: 14
P48 X: 5     P48 Y: 7
P49 X: 4     P49 Y: 3
P50 X: 11     P50 Y: 28
P51 X: 2     P51 Y: 19
P52 X: 24     P52 Y: 3
P53 X: 24     P53 Y: 9
P54 X: 22     P54 Y: 7
P55 X: 5     P55 Y: 13
P56 X: 9     P56 Y: 9
P57 X: 26     P57 Y: 21
P58 X: 12     P58 Y: 6
P59 X: 2     P59 Y: 15
P60 X: 25     P60 Y: 4
P61 X: 2     P61 Y: 12
P62 X: 16     P62 Y: 14
P63 X: 7     P63 Y: 4
P64 X: 17     P64 Y: 4
P65 X: 30     P65 Y: 1
P66 X: 28     P66 Y: 3
P67 X: 19     P67 Y: 11
P68 X: 1     P68 Y: 27
P69 X: 7     P69 Y: 12
P70 X: 27     P70 Y: 15
P71 X: 24     P71 Y: 8
P72 X: 3     P72 Y: 1
P73 X: 23     P73 Y: 1
P74 X: 28     P74 Y: 30
P75 X: 5     P75 Y: 24
P76 X: 29     P76 Y: 9
P77 X: 23     P77 Y: 2
P78 X: 30     P78 Y: 9
P79 X: 10     P79 Y: 26
P80 X: 0     P80 Y: 20
P81 X: 10     P81 Y: 1
P82 X: 18     P82 Y: 5
P83 X: 19     P83 Y: 18
P84 X: 21     P84 Y: 10
P85 X: 30     P85 Y: 20
P86 X: 23     P86 Y: 24
P87 X: 11     P87 Y: 24
P88 X: 17     P88 Y: 17
P89 X: 16     P89 Y: 26
P90 X: 20     P90 Y: 20
P91 X: 16     P91 Y: 17
P92 X: 18     P92 Y: 23
P93 X: 21     P93 Y: 14
P94 X: 9     P94 Y: 19
P95 X: 8     P95 Y: 26
P96 X: 0     P96 Y: 0
P97 X: 15     P97 Y: 12
P98 X: 14     P98 Y: 9
P99 X: 19     P99 Y: 21
P100 X: 8     P100 Y: 15

P1 X: 21     P1 Y: 6
P2 X: 26     P2 Y: 28
P3 X: 23     P3 Y: 20
P4 X: 19     P4 Y: 28
P5 X: 26     P5 Y: 14
P6 X: 25     P6 Y: 19
P7 X: 17     P7 Y: 27
P8 X: 28     P8 Y: 22
P9 X: 9     P9 Y: 19
P10 X: 2     P10 Y: 28
P11 X: 29     P11 Y: 27
P12 X: 26     P12 Y: -1
P13 X: 27     P13 Y: 24
P14 X: 20     P14 Y: 23
P15 X: 24     P15 Y: 16
P16 X: 19     P16 Y: 26
P17 X: 7     P17 Y: 29
P18 X: 23     P18 Y: 21
P19 X: 25     P19 Y: 12
P20 X: 27     P20 Y: 13
P21 X: 20     P21 Y: 3
P22 X: 17     P22 Y: 8
P23 X: 24     P23 Y: 26
P24 X: 19     P24 Y: 11
P25 X: 28     P25 Y: 17
P26 X: 26     P26 Y: 4
P27 X: 30     P27 Y: 30
P28 X: 3     P28 Y: 17
P29 X: 21     P29 Y: 23
P30 X: 8     P30 Y: 24
P31 X: 5     P31 Y: 8
P32 X: 7     P32 Y: 6
P33 X: 15     P33 Y: 19
P34 X: 16     P34 Y: 6
P35 X: 20     P35 Y: 19
P36 X: 30     P36 Y: 0
P37 X: 25     P37 Y: 26
P38 X: 17     P38 Y: 12
P39 X: 16     P39 Y: 9
P40 X: 9     P40 Y: 12
P41 X: 21     P41 Y: 27
P42 X: 1     P42 Y: 27
P43 X: 26     P43 Y: 24
P44 X: 4     P44 Y: 9
P45 X: 29     P45 Y: 16
P46 X: 25     P46 Y: 29
P47 X: 30     P47 Y: 19
P48 X: 16     P48 Y: 29
P49 X: 26     P49 Y: 26
P50 X: 22     P50 Y: -1
P51 X: 27     P51 Y: 26
P52 X: 7     P52 Y: 22
P53 X: 9     P53 Y: 16
P54 X: 7     P54 Y: 17
P55 X: 26     P55 Y: 13
P56 X: 22     P56 Y: 29
P57 X: 9     P57 Y: 28
P58 X: 30     P58 Y: 21
P59 X: 13     P59 Y: 27
P60 X: 25     P60 Y: 24
P61 X: 16     P61 Y: 19
P62 X: 21     P62 Y: 17
P63 X: 20     P63 Y: 22
P64 X: 13     P64 Y: 11
P65 X: 5     P65 Y: 19
P66 X: 11     P66 Y: 22
P67 X: 23     P67 Y: 20
P68 X: 20     P68 Y: 8
P69 X: 26     P69 Y: 27
P70 X: 23     P70 Y: 27
P71 X: 15     P71 Y: 19
P72 X: 18     P72 Y: 22
P73 X: 17     P73 Y: 17
P74 X: 7     P74 Y: 3
P75 X: 22     P75 Y: 5
P76 X: -2     P76 Y: 17
P77 X: 30     P77 Y: 14
P78 X: -3     P78 Y: 23
P79 X: 18     P79 Y: 17
P80 X: 23     P80 Y: 9
P81 X: 18     P81 Y: 25
P82 X: 30     P82 Y: 23
P83 X: 18     P83 Y: 16
P84 X: 10     P84 Y: 26
P85 X: 13     P85 Y: 7
P86 X: 28     P86 Y: 13
P87 X: 18     P87 Y: 11
P88 X: 18     P88 Y: 12
P89 X: 26     P89 Y: 7
P90 X: 21     P90 Y: 11
P91 X: 20     P91 Y: 18
P92 X: 19     P92 Y: 12
P93 X: 11     P93 Y: 26
P94 X: 24     P94 Y: 21
P95 X: 15     P95 Y: 8
P96 X: 6     P96 Y: 26
P97 X: 28     P97 Y: 25
P98 X: 14     P98 Y: 28
P99 X: 24     P99 Y: 20
P100 X: 24     P100 Y: 26

P1 X: 30     P1 Y: 18
P2 X: 5     P2 Y: 26
P3 X: 13     P3 Y: 5
P4 X: 29     P4 Y: 2
P5 X: 15     P5 Y: 9
P6 X: 15     P6 Y: 25
P7 X: 12     P7 Y: 17
P8 X: 8     P8 Y: 3
P9 X: 14     P9 Y: 7
P10 X: 27     P10 Y: 21
P11 X: 23     P11 Y: 15
P12 X: 27     P12 Y: 32
P13 X: 15     P13 Y: 29
P14 X: 21     P14 Y: 8
P15 X: 27     P15 Y: 13
P16 X: 25     P16 Y: 21
P17 X: 20     P17 Y: 3
P18 X: 9     P18 Y: 28
P19 X: 3     P19 Y: 20
P20 X: 16     P20 Y: 21
P21 X: 22     P21 Y: 30
P22 X: 15     P22 Y: 21
P23 X: 6     P23 Y: 8
P24 X: 24     P24 Y: 9
P25 X: 18     P25 Y: 25
P26 X: 3     P26 Y: 29
P27 X: 1     P27 Y: 23
P28 X: 24     P28 Y: 24
P29 X: 10     P29 Y: 8
P30 X: 14     P30 Y: 8
P31 X: 25     P31 Y: 20
P32 X: 24     P32 Y: 22
P33 X: 7     P33 Y: 5
P34 X: 8     P34 Y: 26
P35 X: 6     P35 Y: 25
P36 X: 8     P36 Y: 33
P37 X: 14     P37 Y: 30
P38 X: 1     P38 Y: 18
P39 X: 4     P39 Y: 14
P40 X: 17     P40 Y: 22
P41 X: 9     P41 Y: 9
P42 X: 32     P42 Y: 9
P43 X: 6     P43 Y: 7
P44 X: 25     P44 Y: 13
P45 X: 6     P45 Y: 26
P46 X: 11     P46 Y: 9
P47 X: 6     P47 Y: 23
P48 X: 26     P48 Y: 6
P49 X: 13     P49 Y: 4
P50 X: 4     P50 Y: 33
P51 X: 9     P51 Y: 12
P52 X: 21     P52 Y: 20
